mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,chroma_0,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11,contrast_0,contrast_1,contrast_2,contrast_3,contrast_4,contrast_5,contrast_6,zcr,label
-375.1763000488281,99.79785919189453,-22.522974014282227,40.1553955078125,-15.164998054504395,17.295642852783203,-17.302627563476562,4.000957012176514,-7.882904529571533,-3.0518393516540527,-1.4717819690704346,-2.03426194190979,-1.4409353733062744,0.1559538096189499,0.14231140911579132,0.16677087545394897,0.15979118645191193,0.13387811183929443,0.1788359433412552,0.2070007473230362,0.24479247629642487,0.4988833963871002,0.3889756500720978,0.22253677248954773,0.16358134150505066,20.297855439870155,16.08861974296989,19.080802681562847,16.318438277041864,17.604816745338702,16.913934614953437,50.12467172914839,0.05155123197115385,1
-428.9165344238281,66.1859130859375,-23.398962020874023,27.264245986938477,-12.441943168640137,15.391050338745117,-16.17104148864746,1.6191755533218384,-12.813714981079102,-1.022460699081421,-2.6395092010498047,-3.138381242752075,0.618777334690094,0.29390183091163635,0.2984115779399872,0.3932163119316101,0.3802982270717621,0.35358521342277527,0.2670951783657074,0.23434843122959137,0.2013319730758667,0.22103628516197205,0.25993776321411133,0.24569076299667358,0.25376033782958984,20.57918231052217,15.201301239897518,16.916263560217924,15.994788185687488,17.26458181037758,16.234673987285014,52.07706516464956,0.11066331129807692,1
-409.3262634277344,107.52685546875,-23.500381469726562,23.993915557861328,-13.641454696655273,7.998073101043701,-16.89525032043457,-2.451045513153076,-12.463553428649902,-5.969933032989502,-5.204408645629883,-2.6758408546447754,0.42494189739227295,0.31179147958755493,0.19812247157096863,0.18573106825351715,0.25981250405311584,0.21945087611675262,0.16566385328769684,0.16953495144844055,0.17975209653377533,0.22674040496349335,0.34985318779945374,0.2755787968635559,0.3663940727710724,21.035453924570454,15.165398864650514,18.03836480091311,16.153151189375407,17.170846177584245,17.025603806275317,49.42649216475341,0.043994140625,1
-442.6170349121094,102.2833251953125,-17.264963150024414,42.50608825683594,-12.292411804199219,18.116535186767578,-13.487232208251953,12.220502853393555,-5.3456950187683105,-4.009898662567139,-4.085851192474365,-3.2751410007476807,2.1513211727142334,0.12893322110176086,0.16414405405521393,0.25648584961891174,0.18160377442836761,0.1293267011642456,0.19684389233589172,0.4019026756286621,0.2730042636394501,0.28590095043182373,0.4512808322906494,0.3521341383457184,0.22518837451934814,19.20923314311584,15.930672329088013,16.39913137683522,15.659299475343536,16.599557284522625,16.212990168724875,49.96009302249024,0.04089167668269231,1
-429.1194152832031,91.96311950683594,-21.584802627563477,36.967567443847656,-14.066023826599121,21.261571884155273,-16.52601432800293,6.714939117431641,-11.190646171569824,-2.66745662689209,-4.533949851989746,-3.6343536376953125,-0.11806312203407288,0.20172171294689178,0.23839376866817474,0.2646794021129608,0.22703726589679718,0.20827287435531616,0.19716043770313263,0.24580304324626923,0.31067022681236267,0.4352331757545471,0.44073227047920227,0.3521033525466919,0.26859357953071594,18.846983628942073,13.77968555241118,14.864109489084328,13.554171219631034,14.700436078822104,14.467834012291942,48.45718947986526,0.06630859375,1
-411.8381042480469,100.3461685180664,-18.65203857421875,29.04092788696289,-16.313426971435547,14.01046371459961,-18.033390045166016,2.811314105987549,-8.182685852050781,-4.247984409332275,-0.4169383645057678,-6.237234115600586,-1.82696533203125,0.32900381088256836,0.30994975566864014,0.3190734088420868,0.3616800904273987,0.2602960765361786,0.19743505120277405,0.1719742864370346,0.21348758041858673,0.2780143916606903,0.31884464621543884,0.29877278208732605,0.33076727390289307,19.68814347256697,14.398436858143455,16.249082212351716,15.498680887561912,15.634696685724176,15.403470452055101,47.81685453006074,0.050379356971153845,1
-473.366455078125,66.31095123291016,-10.1939115524292,19.3292293548584,-3.6922695636749268,11.13174819946289,-7.60640811920166,4.507878303527832,-3.3847689628601074,-1.658597469329834,-1.2247456312179565,-3.3915257453918457,1.062758445739746,0.5148937702178955,0.5208543539047241,0.4868835508823395,0.3854324519634247,0.30198386311531067,0.27726244926452637,0.2826656401157379,0.25927242636680603,0.24715831875801086,0.22339504957199097,0.2653093934059143,0.40557146072387695,22.03858652942849,17.677346982502776,17.40884722432909,16.83686003756342,17.986682934166158,17.44874744096865,53.51717706232857,0.07275390625,1
-480.3758544921875,66.77400207519531,-19.380081176757812,25.054655075073242,-12.06844425201416,10.689587593078613,-13.850576400756836,1.5560047626495361,-9.916559219360352,-1.6893506050109863,-1.7443697452545166,-2.104489326477051,0.010912088677287102,0.19906063377857208,0.16470973193645477,0.17306701838970184,0.2141065150499344,0.2154531180858612,0.21082930266857147,0.1991885006427765,0.19525088369846344,0.2547614872455597,0.29669803380966187,0.2563994526863098,0.21587267518043518,17.420463157857256,13.636675781033228,15.824750945970797,14.31482939961521,15.577980586563289,15.252048180548158,38.95428655980696,0.05205829326923077,1
-505.48797607421875,50.523258209228516,-14.786373138427734,20.417007446289062,-10.591584205627441,8.215063095092773,-12.031867980957031,0.4864589273929596,-7.904107093811035,-3.5153331756591797,-3.105456829071045,-3.8997859954833984,-1.1671804189682007,0.22081467509269714,0.16143392026424408,0.15659916400909424,0.1529230773448944,0.1561352163553238,0.14219357073307037,0.16136454045772552,0.18303343653678894,0.18212848901748657,0.1750728189945221,0.15958571434020996,0.20285412669181824,17.576468796636433,14.391857204486143,14.770934377891002,14.520543625884242,15.127118369967958,15.159417635904815,35.14903483711207,0.052415114182692304,1
-415.6071472167969,89.25199890136719,-21.354537963867188,25.831809997558594,-9.684487342834473,7.2233428955078125,-16.987565994262695,-3.4326682090759277,-5.276560306549072,-5.0153303146362305,-1.0757986307144165,-0.024218279868364334,1.3208988904953003,0.23037584125995636,0.2501369118690491,0.26165494322776794,0.2512343227863312,0.24410858750343323,0.20544584095478058,0.27501845359802246,0.32013431191444397,0.36038410663604736,0.3538239598274231,0.23956795036792755,0.1841198205947876,20.463119403132406,14.706335098395053,16.53218202133741,15.560454065540727,17.401556662214947,17.111787979581358,48.38340967924582,0.04763371394230769,1
